(836, 354)
(843, 367)
(837, 367)
(840, 367)
(849, 368)
(852, 365)
(847, 366)
(837, 367)
(831, 369)
(818, 368)
(704, 370)
(674, 358)
(682, 349)
(650, 367)
(650, 367)
(656, 365)
(659, 364)
(659, 364)
(658, 362)
(688, 363)
(680, 359)
(690, 368)
(723, 368)
(755, 287)
(744, 277)
(748, 282)
(743, 282)
(742, 282)
(742, 282)
(742, 281)
(743, 279)
(745, 278)
(747, 278)
(747, 278)
(748, 277)
(750, 277)
(763, 282)
(765, 282)
(767, 282)
(769, 280)
(770, 279)
(770, 280)
(772, 280)
(773, 280)
(773, 280)
(773, 283)
(773, 283)
(767, 283)
(759, 283)
(754, 283)
(746, 286)
(740, 289)
(738, 295)
(733, 296)
(733, 295)
(728, 294)
(730, 294)
(730, 294)
(729, 294)
(725, 295)
(723, 297)
(715, 297)
(713, 296)
(713, 296)
(702, 292)
(689, 285)
(691, 272)
(683, 268)
(674, 263)
(665, 257)
(650, 256)
(645, 258)
(643, 259)
(634, 259)
(628, 262)
(622, 265)
(618, 266)
(616, 266)
(608, 266)
(608, 267)
(604, 267)
(603, 264)
(603, 263)
(602, 265)
(604, 269)
(604, 272)
(606, 271)
(607, 272)
(611, 272)
(612, 274)
(610, 275)
(608, 275)
(608, 275)
(604, 279)
(602, 278)
(601, 278)
(600, 277)
(594, 277)
(591, 277)
(590, 276)
(587, 275)
(586, 275)
(584, 275)
(583, 274)
(583, 276)
(592, 277)
(591, 277)
(591, 277)
(598, 277)
(610, 275)
(611, 270)
(616, 266)
(615, 261)
(612, 254)
(612, 248)
(612, 250)
(617, 251)
(631, 253)
(640, 256)
(642, 257)
(651, 261)
(647, 262)
(652, 295)
(628, 286)
(631, 284)
(625, 286)
(580, 294)
(561, 302)
(580, 300)
(595, 291)
(621, 286)
(616, 265)
(624, 245)
(628, 229)
(619, 249)
(619, 249)
(619, 249)
(616, 248)
(622, 242)
(625, 237)
(625, 236)
(625, 235)
(626, 235)
(629, 235)
(632, 236)
(641, 234)
(645, 232)
(653, 232)
(660, 229)
(659, 230)
(655, 233)
(656, 232)
(654, 232)
(655, 231)
(655, 230)
(659, 231)
(661, 231)
(652, 231)
(639, 231)
(639, 228)
(614, 237)
(603, 243)
(589, 242)
(590, 260)
(577, 263)
(576, 266)
(573, 272)
(578, 268)
(583, 270)
(585, 268)
(588, 267)
(600, 258)
(600, 250)
(604, 251)
(604, 241)
(603, 235)
(606, 237)
(605, 234)
(608, 235)
(610, 236)
(609, 233)
(610, 235)
(611, 235)
(612, 238)
(612, 241)
(613, 240)
(615, 242)
(615, 242)
(615, 248)
(615, 251)
(612, 252)
(607, 257)
(606, 262)
(603, 267)
(601, 271)
(603, 273)
(604, 272)
(607, 277)
(608, 277)
(608, 277)
(609, 277)
(609, 275)
(608, 278)
(610, 277)
(712, 361)
(733, 368)
(740, 367)
(736, 372)
(613, 276)
(651, 295)
(710, 362)
(694, 343)
(675, 327)
(632, 304)
(598, 292)
(601, 318)
(603, 320)
(615, 330)
(608, 328)
(603, 301)
(600, 307)
(600, 309)
(600, 310)
(602, 301)
(600, 299)
(601, 301)
(601, 309)
(617, 336)
(577, 326)
(626, 350)
(581, 336)
(572, 321)
(577, 363)
(570, 366)
(607, 370)
(555, 369)
(565, 370)
(563, 373)
(546, 373)
(553, 397)
(544, 401)
(536, 411)
(526, 410)
(506, 420)
(503, 418)
(503, 415)
(503, 412)
(503, 413)
(514, 398)
(521, 389)
(520, 388)
(498, 405)
(482, 406)
(522, 388)
(525, 382)
(540, 385)
(542, 409)
(549, 418)
(563, 429)
(575, 436)
(605, 443)
(589, 481)
(606, 488)
(629, 474)
(817, 445)
(794, 537)
(741, 570)
(836, 354)
(843, 367)
(837, 367)
(840, 367)
(849, 368)
(852, 365)
(847, 366)
(837, 367)
(831, 369)
(818, 368)
(704, 370)
(674, 358)
(682, 349)
(650, 367)
(650, 367)
(656, 365)
(659, 364)
(659, 364)
(658, 362)
(688, 363)
(680, 359)
(690, 368)
(723, 368)
(755, 287)
(744, 277)
(748, 282)
(743, 282)
(742, 282)
(742, 282)
(742, 281)
(743, 279)
(745, 278)
(747, 278)
(747, 278)
(748, 277)
(750, 277)
(763, 282)
(765, 282)
(767, 282)
(769, 280)
(770, 279)
(770, 280)
(772, 280)
(773, 280)
(773, 280)
(773, 283)
(773, 283)
(767, 283)
(759, 283)
(754, 283)
(746, 286)
(740, 289)
(738, 295)
(733, 296)
(733, 295)
(728, 294)
(730, 294)
(730, 294)
(729, 294)
(725, 295)
(723, 297)
(715, 297)
(713, 296)
(713, 296)
(702, 292)
(689, 285)
(691, 272)
(683, 268)
(674, 263)
(665, 257)
(650, 256)
(645, 258)
(643, 259)
(634, 259)
(628, 262)
(622, 265)
(618, 266)
(616, 266)
(608, 266)
(608, 267)
(604, 267)
(603, 264)
(603, 263)
(602, 265)
(604, 269)
(604, 272)
(606, 271)
(607, 272)
(611, 272)
(612, 274)
(610, 275)
(608, 275)
(608, 275)
(604, 279)
(602, 278)
(601, 278)
(600, 277)
(594, 277)
(591, 277)
(590, 276)
(587, 275)
(586, 275)
(584, 275)
(583, 274)
(583, 276)
(592, 277)
(591, 277)
(591, 277)
(598, 277)
(610, 275)
(611, 270)
(616, 266)
(615, 261)
(612, 254)
(612, 248)
(612, 250)
(617, 251)
(631, 253)
(640, 256)
